gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group B,master's degree,standard,none,90,95,93
female,group B,some college,standard,completed,88,95,92
female,group D,master's degree,standard,none,87,100,100
female,group E,bachelor's degree,standard,completed,99,100,100
female,group C,some college,standard,completed,88,93,93
female,group B,high school,standard,none,87,95,86
female,group C,bachelor's degree,standard,completed,96,100,100
female,group D,some high school,standard,completed,97,100,100
female,group C,some college,standard,completed,88,95,94
female,group E,high school,standard,none,99,93,90
female,group D,associate's degree,standard,completed,88,92,95
female,group D,high school,standard,completed,88,99,100
female,group E,some college,standard,none,100,92,97
female,group E,bachelor's degree,standard,none,100,100,100
female,group B,associate's degree,standard,completed,90,90,91
female,group B,associate's degree,standard,completed,94,87,92
female,group E,associate's degree,standard,completed,95,89,92
female,group C,bachelor's degree,standard,none,86,92,87
female,group C,associate's degree,standard,none,91,86,84
female,group A,some high school,standard,completed,92,100,97
female,group E,bachelor's degree,free/reduced,completed,92,100,100
female,group C,bachelor's degree,standard,completed,92,100,99
female,group E,master's degree,standard,completed,94,99,100
female,group D,some college,standard,none,98,100,99
female,group C,associate's degree,standard,completed,96,96,99
female,group C,some college,standard,completed,87,89,94
female,group E,associate's degree,standard,none,87,94,95
female,group E,some college,standard,none,87,85,93
female,group B,bachelor's degree,standard,none,97,97,96
female,group E,associate's degree,standard,completed,93,100,95
female,group E,some college,standard,completed,86,85,91
female,group D,bachelor's degree,free/reduced,completed,93,100,100
female,group D,master's degree,standard,none,92,100,100
female,group E,associate's degree,standard,none,100,100,100
female,group D,bachelor's degree,standard,none,89,100,100
female,group C,associate's degree,standard,none,91,95,94
female,group E,master's degree,standard,completed,88,99,95
